
================================================================================
ANALYSIS SUMMARY
================================================================================

Overall: 693 cases, 90 faster >1%, 276 slower >1%, 327 wash (±1%), avg +0.98%

Per-benchmark averages:
  bench_gemm                  -2.48%  (23/25 faster)   ← clear winner
  bench_gemm_double           +0.20%  (wash)
  bench_gemv                  +1.01%  (mostly regression)
  bench_vecadd                +0.32%  (wash)
  bench_reductions            +0.62%  (mixed)
  bench_fixed_size            +0.98%  (slight regression)
  bench_fixed_size_double     +1.18%  (slight regression)
  bench_trsm                  +2.33%  (worst avg — TRSV especially bad)
  bench_trmv                  +1.75%  (float Upper consistently bad)
  bench_triangular_product    +1.03%  (regression)
  bench_selfadjoint_product   +0.76%  (wash)
  bench_dot                   +1.27%  (noisy, outliers both ways)
  bench_block_ops             +1.74%  (mostly regression)

Notable wins:
  BM_EigenGemm/192/192/192              -8.53%
  BM_EigenGemm/160/160/160              -8.45%
  TRMV_float_Lower/512                  -8.46%
  VectorNorm_double/65536              -14.01%
  VectorMinCoeff_float/4096             -7.59%
  VectorMinCoeff_float/262144           -7.43%
  VectorProd_float/262144               -7.48%
  VectorSum_float/262144                -6.57%

Notable regressions:
  BlockRead_float/512/64               +78.29%  (likely noise/cache artifact)
  VectorLpNormInf_double/1048576       +20.62%
  TRMV_float_UnitUpper/1024            +18.89%
  TRSV_float_Lower/512                 +18.78%
  TRMV_float_Upper/1024                +18.51%
  TRSV_float_Lower/128                 +17.61%
  Dot_double/65536                     +15.78%
  Dot_cfloat/1048576                   +15.76%
  TRMV_double_UnitUpper/2048           +15.63%
  VectorLpNormInf_double/65536         +11.47%
  TRSV_float_Lower/32                  +11.15%
  TRMV_float_UnitUpper/64              +11.20%

Pattern: __builtin_assume helps float GEMM consistently (compiler better exploits
alignment/size hints for the GEBP kernel) but hurts triangular solvers (TRSV/TRMV
Upper) and large-vector reductions significantly. The hints appear to misguide
vectorization decisions for upper-triangular traversal patterns and large strided
reductions where the compiler's default heuristics were better.



benchmark                       case                                                       baseline      assume     delta
bench_gemm_double               BM_EigenGemm/768/768/768                                 12979498.7  13138476.8    +1.22% ▲
bench_gemm_double               BM_EigenGemm/8/8/8                                             53.8        46.1   -14.40% ▼
bench_gemm_double               BM_EigenGemm/96/96/96                                       26514.5     26425.6    -0.34%  

bench_gemv                      GemvAdj_cfloat/1/1024                                        1585.3      1593.1    +0.49%  
bench_gemv                      GemvAdj_cfloat/1/256                                          394.8       402.1    +1.85% ▲
bench_gemv                      GemvAdj_cfloat/1024/1                                          92.5        93.1    +0.65%  
bench_gemv                      GemvAdj_cfloat/1024/1024                                    85317.9     85671.6    +0.41%  
bench_gemv                      GemvAdj_cfloat/1024/16                                       1190.1      1202.9    +1.08% ▲
bench_gemv                      GemvAdj_cfloat/128/128                                       1338.8      1372.6    +2.53% ▲
bench_gemv                      GemvAdj_cfloat/16/1024                                       2585.3      2612.9    +1.07% ▲
bench_gemv                      GemvAdj_cfloat/16/256                                         640.3       641.9    +0.25%  
bench_gemv                      GemvAdj_cfloat/256/1                                           29.3        29.5    +0.76%  
bench_gemv                      GemvAdj_cfloat/256/16                                         311.5       317.8    +2.04% ▲
bench_gemv                      GemvAdj_cfloat/32/32                                          116.0       118.5    +2.16% ▲
bench_gemv                      GemvAdj_cfloat/512/512                                      22727.0     23489.0    +3.35% ▲
bench_gemv                      GemvAdj_cfloat/8/8                                             16.6        17.1    +2.80% ▲
bench_gemv                      GemvConj_cfloat/1/1024                                        886.0       891.9    +0.67%  
bench_gemv                      GemvConj_cfloat/1/256                                         226.8       228.2    +0.61%  
bench_gemv                      GemvConj_cfloat/1024/1                                        151.1       150.7    -0.28%  
bench_gemv                      GemvConj_cfloat/1024/1024                                   88128.7     92006.2    +4.40% ▲
bench_gemv                      GemvConj_cfloat/1024/16                                      1238.1      1245.5    +0.59%  
bench_gemv                      GemvConj_cfloat/128/128                                      1242.8      1250.4    +0.61%  
bench_gemv                      GemvConj_cfloat/16/1024                                      1350.1      1381.2    +2.31% ▲
bench_gemv                      GemvConj_cfloat/16/256                                        338.3       340.0    +0.49%  
bench_gemv                      GemvConj_cfloat/256/1                                          38.5        38.7    +0.66%  
bench_gemv                      GemvConj_cfloat/256/16                                        311.8       310.1    -0.53%  
bench_gemv                      GemvConj_cfloat/32/32                                          78.2        78.8    +0.71%  
bench_gemv                      GemvConj_cfloat/512/512                                     24048.9     25293.8    +5.18% ▲
bench_gemv                      GemvConj_cfloat/8/8                                             9.7         9.8    +0.64%  
bench_gemv                      GemvTrans_cfloat/1/1024                                      1639.5      1650.4    +0.67%  
bench_gemv                      GemvTrans_cfloat/1/256                                        410.3       412.0    +0.44%  
bench_gemv                      GemvTrans_cfloat/1024/1                                        92.3        92.8    +0.51%  
bench_gemv                      GemvTrans_cfloat/1024/1024                                  85387.3     87333.1    +2.28% ▲
bench_gemv                      GemvTrans_cfloat/1024/16                                     1186.1      1212.8    +2.25% ▲
bench_gemv                      GemvTrans_cfloat/128/128                                     1337.2      1343.5    +0.47%  
bench_gemv                      GemvTrans_cfloat/16/1024                                     2557.9      2574.9    +0.66%  
bench_gemv                      GemvTrans_cfloat/16/256                                       637.0       640.1    +0.48%  
bench_gemv                      GemvTrans_cfloat/256/1                                         29.1        29.3    +0.61%  
bench_gemv                      GemvTrans_cfloat/256/16                                       310.8       317.3    +2.12% ▲
bench_gemv                      GemvTrans_cfloat/32/32                                        116.0       116.7    +0.62%  
bench_gemv                      GemvTrans_cfloat/512/512                                    22764.8     22965.7    +0.88%  
bench_gemv                      GemvTrans_cfloat/8/8                                           16.6        16.7    +0.68%  
bench_gemv                      GemvTrans_double/1/1024                                       754.3       759.2    +0.65%  
bench_gemv                      GemvTrans_double/1/256                                        188.1       191.7    +1.96% ▲
bench_gemv                      GemvTrans_double/1024/1                                        55.4        55.7    +0.53%  
bench_gemv                      GemvTrans_double/1024/1024                                  67695.4     68496.1    +1.18% ▲
bench_gemv                      GemvTrans_double/1024/16                                      741.4       745.3    +0.52%  
bench_gemv                      GemvTrans_double/128/128                                      889.0       900.8    +1.33% ▲
bench_gemv                      GemvTrans_double/16/1024                                      976.8       983.6    +0.69%  
bench_gemv                      GemvTrans_double/16/256                                       238.3       240.3    +0.85%  
bench_gemv                      GemvTrans_double/256/1                                         14.2        14.3    +0.40%  
bench_gemv                      GemvTrans_double/256/16                                       132.7       134.8    +1.59% ▲
bench_gemv                      GemvTrans_double/32/32                                         42.8        42.1    -1.66% ▼
bench_gemv                      GemvTrans_double/512/512                                    18210.9     18182.0    -0.16%  
bench_gemv                      GemvTrans_double/8/8                                            9.3         9.2    -1.16% ▼
bench_gemv                      GemvTrans_float/1/1024                                        899.6       898.1    -0.17%  
bench_gemv                      GemvTrans_float/1/256                                         224.2       224.5    +0.12%  
bench_gemv                      GemvTrans_float/1024/1                                         27.9        27.9    -0.00%  
bench_gemv                      GemvTrans_float/1024/1024                                   32686.0     33144.8    +1.40% ▲
bench_gemv                      GemvTrans_float/1024/16                                       319.2       319.4    +0.08%  
bench_gemv                      GemvTrans_float/128/128                                       448.6       452.1    +0.78%  
bench_gemv                      GemvTrans_float/16/1024                                       950.2       949.6    -0.07%  
bench_gemv                      GemvTrans_float/16/256                                        235.3       235.0    -0.11%  
